,Bedroom,Bathroom,Den,Address,Lat,Long,Price
330,2,2.0,0,M5V,43.647870000000005,-79.391138,2350.0
331,2,2.0,0,M5E,43.64310510000001,-79.375906,3200.0
332,2,1.0,0,,43.9491784,-78.2934468,1595.0
333,1,2.0,1,M5V,43.6402232,-79.395951,2500.0
334,2,2.0,0,M9C,43.6092614,-79.558998,2380.0
335,1,1.0,0,M5J,43.6419081,-79.38177979999999,2000.0
336,2,1.0,0,M6K,43.6403508,-79.42752159999999,2574.0
337,2,1.0,0,M6K,43.6403508,-79.42752159999999,2591.0
338,1,1.0,0,M6N,43.682691999999996,-79.4888656,1295.0
339,1,1.0,0,M5G,43.6541547,-79.3852113,550.0
340,2,2.0,0,M5B,43.6548421,-79.37920150000001,3099.0
341,2,2.0,0,M4Y,43.6655881,-79.383028,3700.0
342,2,1.0,0,M5J,43.6408157,-79.38175229999999,1500.0
343,2,2.0,0,M5A,43.6551919,-79.3539119,2999.0
344,1,1.0,0,M6k,43.6399343,-79.4164454,2100.0
345,3,1.5,0,M9N,43.705123,-79.5300905,2050.0
346,1,1.0,0,M9N,43.705123,-79.5300905,1525.0
347,2,1.0,0,M9N,43.705123,-79.5300905,1799.0
348,2,1.0,0,L7P,43.345193200000004,-79.82612879999999,1875.0
349,2,1.0,0,L7S,43.328985499999995,-79.80861829999999,1625.0
350,1,1.0,1,M5V,43.6400685,-79.39996040000001,2400.0
351,1,1.0,0,M4Y,43.664843700000006,-79.3859297,2500.0
352,2,1.0,0,M5V,43.645641,-79.39295340000001,1900.0
353,1,1.0,0,M5J,43.6410868,-79.3814048,2200.0
354,1,1.0,0,M5V,43.647627299999996,-79.39040809999999,2650.0
355,1,1.0,0,M4Y,43.6695496,-79.3837757,2000.0
356,2,2.0,0,L5B,43.581639100000004,-79.648193,2300.0
357,1,1.0,0,M5G,43.65506920000001,-79.38747049999999,1200.0
358,2,2.0,0,m1s,43.7800331,-79.28105450000001,2184.0
359,2,2.0,0,L5L,43.5464869,-79.68541570000001,2350.0
360,1,1.0,0,L5B,43.588602,-79.63170040000001,1900.0
361,1,1.0,0,M4L,43.666988700000005,-79.3146912,1100.0
362,1,1.0,0,L3R,43.85631,-79.3286298,1800.0
363,1,1.0,1,M5A,43.65598789999999,-79.35887690000001,3200.0
364,1,1.0,1,M5J,43.6418726,-79.3819064,2400.0
365,1,1.0,0,M5V,43.640402,-79.39714670000001,2100.0
366,1,1.0,0,M4V,43.6527574,-79.3665108,2480.0
367,1,1.0,1,M5E,43.6458091,-79.3756819,3000.0
368,1,1.0,0,M4V,43.6448637,-79.3990598,2250.0
369,1,1.0,0,M5V,43.647870000000005,-79.391138,1850.0
370,2,1.0,0,L7R,43.336221,-79.78690040000001,1750.0
372,2,2.0,0,M5E,43.6458091,-79.3756819,3400.0
373,1,1.0,0,M6K,43.640845500000005,-79.4143193,2180.0
374,1,1.0,0,M4Y,43.669450700000006,-79.38747049999999,2550.0
375,1,1.0,1,L3R,43.8413607,-79.3201494,1900.0
376,1,1.0,0,L6G,43.8561002,-79.3370188,1800.0
377,1,1.0,1,M5V,43.6385213,-79.39946379999999,2300.0
378,1,1.0,0,M5B,43.660846,-79.3787556,2250.0
379,1,1.0,0,M5E,43.6485726,-79.37627540000001,1900.0
